names	type	group
MUC7957	PE	Maedchen
MUC7958	PE	Bub
MUC7962	PE	Maedchen
MUC7963	PE	Bub
MUC7964	PE	Bub
MUC7965	PE	Bub
MUC7966	PE	Bub
MUC7967	PE	Bub
MUC7968	PE	Bub
MUC7969	PE	Bub
MUC7970	PE	Bub
MUC7971	PE	Bub
MUC7972	PE	Bub
MUC7974	PE	Bub
MUC7975	PE	Bub
MUC7976	PE	Bub
MUC7977	PE	Bub
MUC7978	PE	Bub
MUC7979	PE	Bub
MUC7980	PE	Bub
MUC7981	PE	Maedchen
MUC7982	PE	Bub
MUC7983	PE	Bub
MUC7984	PE	Bub
MUC7985	PE	Bub
MUC7986	PE	Bub
MUC7988	PE	Maedchen
MUC7989	PE	Maedchen
MUC7990	PE	Bub
MUC7991	PE	Bub
MUC7992	PE	Bub
MUC7993	PE	Bub
MUC7995	PE	Bub
MUC7996	PE	Maedchen
MUC7997	PE	Bub
MUC7998	PE	Bub
MUC7999	PE	Bub
MUC8000	PE	Bub
MUC8001	PE	Maedchen
MUC8002	PE	Bub
MUC8003	PE	Bub
MUC8004	PE	Bub
MUC8005	PE	Bub
MUC8006	PE	Bub
MUC8007	PE	Maedchen
MUC8010	PE	Bub
MUC8012	PE	Maedchen
